ifsc,bank_id,branch,address,city,district,state
ABHY0065113,60,AURANGABAD,"AMDANI CHAMBERS, GROUND FLOOR, NEW GULMANDI ROAD, DALAL WADI, AURANGABAD- 431 001.",AURANGABAD,AURANGABAD,MAHARASHTRA
ABHY0065114,60,KANKAVLI,"3/16, A-1-B, GROUND FLOOR, HISSA NO.29, SURVEY NO.204, MUMABAI GOA HIGHWAY, AT AND POST - KANKAVLI, DIST - SINDHUDURG 416602",KANKAVLI,SINDHUDURG,MAHARASHTRA
ABHY0065115,60,NASHIK,"SHOP NO. 3 & 4 & OFFICE NO.4,5 & 6 LUCKY PALACE APARTMENTS, CANARA CORNER, SHARANPUR TRIMBAK ROAD, NASHIK 422 005",NASHIK,NASIK,MAHARASHTRA
ABHY0065116,60,CHAKAN BRANCH,"ANAND BUILDING, MAIN BAZAR PETH, NEAR CHAKAN S.T. STAND, OLD PUNE NASHIK ROAD, CHAKAN, DIST PUNE 410 501",CHAKAN,PUNE,MAHARASHTRA
ABHY0065117,60,AMBAD,"SHO NO.1-5, LOTUS PLAZA, TRIMURTI CHOWK, AMBAD-LINK ROAD, CIDCO, NEW NASHIK NASHIK-422008",NASHIK,NASIK,MAHARASHTRA
ABHY0065118,60,NASHIK ROAD,"RAJAN COMPLEX, DATTA MANDIR STOP, NASHIK-PUNE HIGHWAY, NASHIK 422 101",NASHIK,NASIK,MAHARASHTRA
ABHY0065119,60,GARKHEDA,"SHOP NO.1 & 2, MALANI CHAMBERS, PLOT NO.5, SHIVAJI NAGAR ROAD, GARKHEDA, AURANGABAD 431005",AURANGABAD,AURANGABAD,MAHARASHTRA
ABHY0065120,60,ASHOK NAGAR,"GROUND FLOOR, 69, ASHOKNAGAR, WORKSHOP-BHAGYANAGAR ROAD, NANDED, DIST NANDED - 431605",NANDED,NANDED,MAHARASHTRA
ABHY0065121,60,C.A. ROAD,"GANDHI GRAIN MARKET, OLD BAGADGANJ LAYOUT, CHAPRU CHOWK, CENTRAL AVENUE ROAD, NAGPUR - 440 008.",NAGPUR,NAGPUR,MAHARASHTRA
ABHY0065122,60,DABHADE TALEGAON,"AMBIKA CORNER APARTMENT, PLOT NO. 6 & 7, LAXMIBAUG COLONY, TALEGAON DABHADE TAL. MAWAL, DIST. PUNE - 410506",TALEGAONDABHADE,PUNE,MAHARASHTRA
ABHY0065123,60,SAMRAT NAGAR,"PLOT NO. 10, 11, 12(D), THE NANDED TOWN MARKET AREA, SAMRAT NAGAR, NEAR ANNABHAU SATHE CHOWK, NANDED - 431 602.",NANDED,NANDED,MAHARASHTRA
ABHY0065124,60,INDIRA NAGAR,"GROUND FLOOR, MADHUSUDAN PARK, C BUILDING, WADALA PATHARDI ROAD, INDIRA NAGAR, NASHIK - 422 009",NASHIK,NASIK,MAHARASHTRA
